,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
3443,0.0,results_full_domain_frac_sportingnews.com,1064,76,0.002623604465709729,0.003,0.003,1.0,,1140,GOP,DEM,0.9964450196511099,DEM
3444,0.003,results_top_three_domain_frac_sportingnews.com,1064,76,0.0014619883040935672,0.001,0.004,3.5,,1140,GOP,DEM,0.48159285273217645,DEM
3445,,results_top_domain_frac_sportingnews.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3446,0.0,results_full_domain_frac_branchspot.com,1064,76,8.771929824561404e-05,0.0,0.0,inf,,1140,GOP,DEM,0.31753808435218084,GOP
3447,,results_top_three_domain_frac_branchspot.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3448,,results_top_domain_frac_branchspot.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3449,0.0,results_full_domain_frac_tmz.com,1064,76,0.00014619883040935673,0.0,0.0,inf,,1140,GOP,DEM,0.15739676836480732,GOP
3450,,results_top_three_domain_frac_tmz.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3451,,results_top_domain_frac_tmz.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3452,,results_full_domain_frac_prisonpolicy.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3453,,results_top_three_domain_frac_prisonpolicy.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3454,,results_top_domain_frac_prisonpolicy.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3455,0.0,results_full_domain_frac_donaldjtrump.com,1064,76,0.0021873594242015296,0.002,0.002,1.0,,1140,GOP,DEM,0.9969920263101355,DEM
3456,,results_top_three_domain_frac_donaldjtrump.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3457,,results_top_domain_frac_donaldjtrump.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3458,0.0,results_full_domain_frac_emedicinehealth.com,1064,76,0.0021536212325686008,0.002,0.002,1.02,,1140,GOP,DEM,0.9750396499719143,GOP
3459,,results_top_three_domain_frac_emedicinehealth.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3460,,results_top_domain_frac_emedicinehealth.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3461,,results_full_domain_frac_bitcoin.com,1064,76,0.0021929824561403503,0.0022,0.0022,,1.0,1140,GOP,DEM,,
3462,,results_top_three_domain_frac_bitcoin.com,1064,76,0.008771929824561401,0.0088,0.0088,,1.0,1140,GOP,DEM,,
3463,,results_top_domain_frac_bitcoin.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3464,0.001,results_full_domain_frac_NewsCarousel,1064,76,0.07633244435876016,0.076,0.077,1.01,,1140,GOP,DEM,0.9071763276795718,DEM
3465,0.017,results_top_three_domain_frac_NewsCarousel,1064,76,0.23450292397660813,0.233,0.25,1.07,,1140,GOP,DEM,0.3401677676806134,DEM
3466,0.003,results_top_domain_frac_NewsCarousel,1064,76,0.36578947368421055,0.366,0.368,1.01,,1140,GOP,DEM,0.961089522258593,DEM
3467,,results_full_domain_frac_sewelltoyota.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3468,,results_top_three_domain_frac_sewelltoyota.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3469,,results_top_domain_frac_sewelltoyota.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3470,0.001,**results_full_domain_frac_quikly.com,1064,76,0.001331453634085213,0.001,0.0,inf,,1140,GOP,DEM,0.000522738533517814,GOP
3471,,results_top_three_domain_frac_quikly.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3472,,results_top_domain_frac_quikly.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3473,0.005,results_full_domain_frac_MapsLocations,1064,76,0.019742771848035006,0.019,0.024,1.23,,1140,GOP,DEM,0.4055014199565137,DEM
3474,0.005,results_top_three_domain_frac_MapsLocations,1064,76,0.052339181286549706,0.052,0.057,1.1,,1140,GOP,DEM,0.7384172773423862,DEM
3475,0.004,*results_top_domain_frac_MapsLocations,1064,76,0.0035087719298245615,0.004,0.0,inf,,1140,GOP,DEM,0.04544929939949021,GOP
3476,0.001,results_full_domain_frac_washingtonexaminer.com,1064,76,0.00029239766081871346,0.0,0.001,4.67,,1140,GOP,DEM,0.43790097696181773,DEM
3477,,results_top_three_domain_frac_washingtonexaminer.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3478,,results_top_domain_frac_washingtonexaminer.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3479,0.0,results_full_domain_frac_honda.com,1064,76,0.003358744082428293,0.003,0.003,1.02,,1140,GOP,DEM,0.9753483167153559,GOP
3480,,results_top_three_domain_frac_honda.com,1064,76,0.008771929824561401,0.0088,0.0088,,1.0,1140,GOP,DEM,,
3481,,results_top_domain_frac_honda.com,1064,76,0.02631578947368421,0.0263,0.0263,,1.0,1140,GOP,DEM,,
3482,0.001,results_full_domain_frac_wellsfargoadvisors.com,1064,76,0.0020370370370370377,0.002,0.003,1.32,,1140,GOP,DEM,0.7386119800001487,DEM
3483,,results_top_three_domain_frac_wellsfargoadvisors.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3484,,results_top_domain_frac_wellsfargoadvisors.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3485,0.0,results_full_domain_frac_nerdwallet.com,1064,76,0.0034774436090225565,0.003,0.003,1.06,,1140,GOP,DEM,0.933430335172943,GOP
3486,,results_top_three_domain_frac_nerdwallet.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3487,,results_top_domain_frac_nerdwallet.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3488,,results_full_domain_frac_faunalytics.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3489,,results_top_three_domain_frac_faunalytics.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3490,,results_top_domain_frac_faunalytics.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3491,0.001,results_full_domain_frac_google.com,1064,76,0.007594396344396343,0.008,0.009,1.15,,1140,GOP,DEM,0.7470741757747081,DEM
3492,,results_top_three_domain_frac_google.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3493,,results_top_domain_frac_google.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3494,0.007,results_full_domain_frac_dominos.com,1064,76,0.008192830561251615,0.008,0.014,1.85,,1140,GOP,DEM,0.539672478711765,DEM
3495,0.001,results_top_three_domain_frac_dominos.com,1064,76,0.009649122807017543,0.01,0.009,1.11,,1140,GOP,DEM,0.8843425672391441,GOP
3496,,results_top_domain_frac_dominos.com,1064,76,0.02631578947368421,0.0263,0.0263,,1.0,1140,GOP,DEM,,
3497,,results_full_domain_frac_ticketmaster.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3498,,results_top_three_domain_frac_ticketmaster.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3499,,results_top_domain_frac_ticketmaster.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3500,0.001,*results_full_domain_frac_mapquest.com,1064,76,0.0005037214247740564,0.001,0.0,inf,,1140,GOP,DEM,0.014458894376188098,GOP
3501,0.0,results_top_three_domain_frac_mapquest.com,1064,76,0.00029239766081871346,0.0,0.0,inf,,1140,GOP,DEM,0.31753808435218084,GOP
3502,,results_top_domain_frac_mapquest.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3503,0.0,results_full_domain_frac_hondaofjoliet.com,1064,76,9.746588693957115e-05,0.0,0.0,inf,,1140,GOP,DEM,0.31753808435218084,GOP
3504,,results_top_three_domain_frac_hondaofjoliet.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3505,,results_top_domain_frac_hondaofjoliet.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3506,,results_full_domain_frac_frontiermotors.net,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3507,,results_top_three_domain_frac_frontiermotors.net,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3508,,results_top_domain_frac_frontiermotors.net,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3509,,results_full_domain_frac_wesh.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3510,,results_top_three_domain_frac_wesh.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3511,,results_top_domain_frac_wesh.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3512,0.001,results_full_domain_frac_franken.senate.gov,1064,76,0.0021198830409356723,0.002,0.001,2.0,,1140,GOP,DEM,0.3511304813116045,GOP
3513,,results_top_three_domain_frac_franken.senate.gov,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3514,,results_top_domain_frac_franken.senate.gov,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3515,,results_full_domain_frac_mediamatters.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3516,,results_top_three_domain_frac_mediamatters.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3517,,results_top_domain_frac_mediamatters.org,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3518,,results_full_domain_frac_quality-toyota.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
3519,,results_top_three_domain_frac_quality-toyota.com,1064,76,0.0,0.0,0.0,,1.0,1140,GOP,DEM,,
