,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
74,,results_top_domain_frac_www.phoenixnewtimes.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
75,,results_full_domain_frac_www.aijustice.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
76,,results_top_three_domain_frac_www.aijustice.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
77,,results_top_domain_frac_www.aijustice.org,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
78,,results_full_domain_frac_www.schimmergm.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
79,,results_top_three_domain_frac_www.schimmergm.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
80,,results_top_domain_frac_www.schimmergm.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
81,,results_full_domain_frac_www.facebook.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
82,,results_top_three_domain_frac_www.facebook.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
83,,results_top_domain_frac_www.facebook.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
84,,results_full_domain_frac_www.chevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
85,,results_top_three_domain_frac_www.chevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
86,,results_top_domain_frac_www.chevrolet.com,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
87,,results_full_domain_frac_gun-control.procon.org,210,50,0.007692307692307693,0.0077,0.0077,,1.0,260,rural,urban,,
88,,results_top_three_domain_frac_gun-control.procon.org,210,50,0.03333333333333333,0.0333,0.0333,,1.0,260,rural,urban,,
89,,results_top_domain_frac_gun-control.procon.org,210,50,0.1,0.1,0.1,,1.0,260,rural,urban,,
90,0.0,results_full_domain_frac_deathpenaltyinfo.org,210,50,0.007988165680473374,0.008,0.008,1.05,,260,rural,urban,0.9216870070658133,rural
91,,results_top_three_domain_frac_deathpenaltyinfo.org,210,50,0.03333333333333333,0.0333,0.0333,,1.0,260,rural,urban,,
92,,results_top_domain_frac_deathpenaltyinfo.org,210,50,0.1,0.1,0.1,,1.0,260,rural,urban,,
93,,results_full_domain_frac_gertrudejekyll.co.uk,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
94,,results_top_three_domain_frac_gertrudejekyll.co.uk,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
95,,results_top_domain_frac_gertrudejekyll.co.uk,210,50,0.0,0.0,0.0,,1.0,260,rural,urban,,
