,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
29,,results_top_domain_frac_www.mirror.co.uk,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
30,,results_full_domain_frac_humanrights-association.org,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
31,,results_top_three_domain_frac_humanrights-association.org,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
32,,results_top_domain_frac_humanrights-association.org,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
33,,results_full_domain_frac_www.imdb.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
34,,results_top_three_domain_frac_www.imdb.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
35,,results_top_domain_frac_www.imdb.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
36,,results_full_domain_frac_www.minimumwage.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
37,,results_top_three_domain_frac_www.minimumwage.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
38,,results_top_domain_frac_www.minimumwage.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
39,0.0,results_full_domain_frac_www.chase.com,180,180,0.00744498556998557,0.008,0.007,1.03,,360,GOP,DEM,0.9493126625433208,GOP
40,,results_top_three_domain_frac_www.chase.com,180,180,0.018518518518518517,0.0185,0.0185,,1.0,360,GOP,DEM,,
41,,results_top_domain_frac_www.chase.com,180,180,0.05555555555555555,0.0556,0.0556,,1.0,360,GOP,DEM,,
42,0.001,results_full_domain_frac_www.passporttoyota.com,180,180,0.0004914529914529915,0.0,0.001,inf,,360,GOP,DEM,0.161417226013576,DEM
43,,results_top_three_domain_frac_www.passporttoyota.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
44,,results_top_domain_frac_www.passporttoyota.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
45,0.001,results_full_domain_frac_veterans.ny.gov,180,180,0.0006944444444444445,0.0,0.001,inf,,360,GOP,DEM,0.15787666304531572,DEM
46,,results_top_three_domain_frac_veterans.ny.gov,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
47,,results_top_domain_frac_veterans.ny.gov,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
48,,results_full_domain_frac_www.businessinsider.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
49,,results_top_three_domain_frac_www.businessinsider.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
50,,results_top_domain_frac_www.businessinsider.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
51,,results_full_domain_frac_gertrudejekyll.co.uk,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
52,,results_top_three_domain_frac_gertrudejekyll.co.uk,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
53,,results_top_domain_frac_gertrudejekyll.co.uk,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
54,0.001,results_full_domain_frac_corporate.target.com,180,180,0.016136363636363636,0.017,0.016,1.05,,360,GOP,DEM,0.9143652447457902,GOP
55,,results_top_three_domain_frac_corporate.target.com,180,180,0.037037037037037035,0.037,0.037,,1.0,360,GOP,DEM,,
56,,results_top_domain_frac_corporate.target.com,180,180,0.05555555555555555,0.0556,0.0556,,1.0,360,GOP,DEM,,
57,0.003,results_full_domain_frac_www.edmunds.com,180,180,0.003590367965367965,0.005,0.002,2.39,,360,GOP,DEM,0.17442572941295537,GOP
58,,results_top_three_domain_frac_www.edmunds.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
59,,results_top_domain_frac_www.edmunds.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
60,0.0,results_full_domain_frac_www.billkiddstoyota.com,180,180,0.00023148148148148146,0.0,0.0,inf,,360,GOP,DEM,0.31866040988720057,DEM
61,,results_top_three_domain_frac_www.billkiddstoyota.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
62,,results_top_domain_frac_www.billkiddstoyota.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
63,,results_full_domain_frac_nationalpolice.org,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
64,,results_top_three_domain_frac_nationalpolice.org,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
65,,results_top_domain_frac_nationalpolice.org,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
66,0.001,results_full_domain_frac_www.va.gov,180,180,0.007539682539682539,0.008,0.007,1.11,,360,GOP,DEM,0.8096823529129222,GOP
67,,results_top_three_domain_frac_www.va.gov,180,180,0.018518518518518517,0.0185,0.0185,,1.0,360,GOP,DEM,,
68,,results_top_domain_frac_www.va.gov,180,180,0.05555555555555555,0.0556,0.0556,,1.0,360,GOP,DEM,,
69,,results_full_domain_frac_labor.ny.gov,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
70,,results_top_three_domain_frac_labor.ny.gov,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
71,,results_top_domain_frac_labor.ny.gov,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
72,,results_full_domain_frac_www.golfdigest.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
73,,results_top_three_domain_frac_www.golfdigest.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
74,,results_top_domain_frac_www.golfdigest.com,180,180,0.0,0.0,0.0,,1.0,360,GOP,DEM,,
