,key,code_str
124,https://www.yelp.com/biz/pizza-hut-lees-summit-6,ttiz
125,https://www.yelp.com/biz/pizza-hut-lees-summit-3,ttiz
126,https://www.yelp.com/biz/pizza-hut-orlando-51,ttiz
127,https://www.yelp.com/biz/pizza-hut-grand-rapids-9,ttiz
128,https://www.yelp.com/biz/pizza-hut-west-hartford-2,ttiz
129,https://www.yelp.com/biz/pizza-hut-columbus-30,ttiz
130,https://www.yelp.com/biz/pizza-hut-fort-worth-3,ttiz
131,https://www.yelp.com/biz/pizza-hut-russell-3,ttiz
132,https://www.yelp.com/biz/pizza-hut-denison-2,ttiz
133,https://www.yelp.com/biz/pizza-hut-fairmont-2,tfo$
134,https://www.yelp.com/biz/dominos-pizza-snoqualmie,ttiz
135,https://www.yelp.com/biz/dominos-pizza-west-hartford-3,ttiz
136,https://www.yelp.com/biz/dominos-pizza-san-jose,ttiz
137,https://www.yelp.com/biz/mcdonalds-charlotte-12,ttiz
138,https://www.yelp.com/biz/mcdonalds-atlanta-57,ttiz
139,https://www.yelp.com/biz/mcdonalds-lees-summit,ttiz
140,https://www.yelp.com/biz/mcdonalds-orlando-10,ttiz
141,https://www.yelp.com/biz/mcdonalds-grand-rapids-14,ttiz
142,https://www.yelp.com/biz/mcdonalds-russell,ttiz
143,https://www.yelp.com/biz/mcdonalds-fairmont-8,ttiz
144,https://www.yelp.com/search?find_desc=super+wal-mart&find_loc=Snoqualmie%2C+WA,ttiz
145,https://www.yelp.com/search?find_desc=walmart&find_loc=Russell%2C+KS+67665,ttiz
146,https://www.yelp.com/biz/target-corporate-office-495-atlanta,tfo$
147,https://www.yelp.com/biz/chase-bank-snoqualmie,ttiz
148,https://www.tripadvisor.com/Restaurant_Review-g34515-d1382174-Reviews-Pizza_Hut-Orlando_Florida.html,ttiz
149,https://www.tripadvisor.com/Restaurant_Review-g34515-d4369741-Reviews-Pizza_Hut-Orlando_Florida.html,ttiz
150,https://www.tripadvisor.com/Restaurant_Review-g34515-d4365763-Reviews-Pizza_Hut-Orlando_Florida.html,ttiz
151,https://www.tripadvisor.com/Restaurant_Review-g42256-d4540610-Reviews-Pizza_Hut-Grand_Rapids_Kent_County_Michigan.html,ttiz
152,https://www.tripadvisor.com/Restaurant_Review-g33970-d4159470-Reviews-Pizza_Hut-West_Hartford_Connecticut.html,ttiz
153,https://www.tripadvisor.com/Restaurant_Review-g50226-d4730689-Reviews-Pizza_Hut-Columbus_Ohio.html,ttiz
154,https://www.tripadvisor.com/Restaurant_Review-g55857-d4245942-Reviews-Pizza_Hut-Fort_Worth_Texas.html,ttiz
155,https://www.tripadvisor.com/Restaurant_Review-g39037-d4478165-Reviews-Pizza_Hut-Russell_Kansas.html,ttiz
156,https://www.tripadvisor.com/ShowUserReviews-g39054-d1169919-r448053061-Pizza_Hut-Sedan_Kansas.html,ttiz
157,https://www.tripadvisor.com/ShowUserReviews-g58748-d4520061-r169730333-Domino_s_Pizza-Snoqualmie_Washington.html,ttiz
158,https://www.tripadvisor.com/Restaurant_Review-g44588-d4875251-Reviews-Domino_s_Pizza-Lee_s_Summit_Missouri.html,ttiz
159,https://www.tripadvisor.com/Restaurant_Review-g60898-d4192692-Reviews-McDonald_s-Atlanta_Georgia.html,ttiz
160,https://www.tripadvisor.com/Attraction_Review-g34515-d2196464-Reviews-World_s_Largest_Entertainment_McDonald_s_PlayPlace-Orlando_Florida.html,ttiz
161,https://www.tripadvisor.com/Restaurant_Review-g50226-d4245653-Reviews-McDonald_s-Columbus_Ohio.html,ttiz
162,https://www.tripadvisor.com/Restaurant_Review-g50226-d4252896-Reviews-McDonald_s-Columbus_Ohio.html,ttiz
163,https://www.tripadvisor.com/Restaurant_Review-g37831-d4960802-Reviews-McDonald_s-Denison_Iowa.html,ttiz
164,https://www.youtube.com/user/quickenloans,tfo$
