GEOID,POP_ESTIMATE_2016
17165,"24,307"
17167,"197,499"
17169,"6,923"
17171,"5,053"
17173,"21,717"
17175,"5,776"
17177,"45,624"
17179,"134,385"
17181,"17,212"
17183,"78,111"
17185,"11,492"
17187,"17,378"
17189,"14,154"
17191,"16,396"
17193,"14,292"
17195,"56,536"
17197,"689,529"
17199,"67,560"
17201,"285,873"
17203,"39,140"
18000,"6,633,053"
18001,"35,232"
18003,"370,404"
18005,"81,402"
18007,"8,650"
18009,"12,149"
18011,"64,653"
18013,"14,912"
18015,"19,970"
18017,"37,946"
18019,"116,031"
18021,"26,309"
18023,"32,457"
18025,"10,539"
18027,"32,969"
18029,"49,331"
18031,"26,598"
18033,"42,746"
18035,"115,603"
18037,"42,552"
18039,"203,781"
18041,"23,331"
18043,"76,990"
18045,"16,486"
18047,"22,715"
18049,"20,139"
18051,"33,703"
18053,"66,937"
18055,"32,211"
18057,"316,373"
18059,"73,717"
18061,"39,826"
18063,"160,610"
18065,"48,521"
18067,"82,568"
18069,"36,400"
18071,"44,013"
18073,"33,433"
18075,"21,046"
18077,"32,418"
18079,"27,758"
18081,"151,982"
18083,"37,744"
18085,"79,092"
18087,"39,110"
18089,"485,846"
18091,"110,015"
18093,"45,518"
18095,"129,296"
18097,"941,229"
18099,"46,556"
18101,"10,171"
18103,"35,883"
18105,"145,496"
18107,"38,074"
18109,"69,698"
18111,"13,924"
18113,"47,638"
18115,"5,932"
18117,"19,335"
18119,"20,840"
18121,"16,800"
18123,"18,966"
18125,"12,431"
18127,"167,791"
18129,"25,476"
18131,"12,660"
18133,"37,436"
18135,"25,082"
18137,"28,846"
18139,"16,649"
18141,"269,141"
18143,"23,730"
18145,"44,324"
18147,"20,648"
18149,"23,009"
18151,"34,116"
18153,"20,802"
18155,"10,527"
18157,"188,059"
18159,"15,182"
18161,"7,212"
18163,"181,721"
18165,"15,645"
18167,"107,931"
18169,"31,762"
18171,"8,166"
18173,"62,498"
18175,"27,670"
18177,"66,568"
18179,"27,949"
18181,"23,999"
18183,"33,449"
19000,"3,134,693"
19001,"7,092"
19003,"3,693"
19005,"13,884"
19007,"12,462"
19009,"5,678"
19011,"25,699"
19013,"132,904"
19015,"26,532"
19017,"24,798"
19019,"20,992"
19021,"20,332"
19023,"14,791"
19025,"9,846"
19027,"20,437"
19029,"13,157"
19031,"18,454"
19033,"43,070"
19035,"11,508"
19037,"12,023"
19039,"9,309"
19041,"16,333"
19043,"17,590"
19045,"47,309"
19047,"16,940"
19049,"84,516"
19051,"8,860"
19053,"8,141"
19055,"17,327"
19057,"39,739"
19059,"17,243"
19061,"97,003"
19063,"9,658"
19065,"20,054"
19067,"15,873"
19069,"10,170"
19071,"6,950"
19073,"9,011"
19075,"12,313"
19077,"10,625"
19079,"15,076"
19081,"10,835"
19083,"17,226"
19085,"14,149"
19087,"19,773"
19089,"9,332"
19091,"9,487"
19093,"6,985"
19095,"16,311"
19097,"19,472"
19099,"36,708"
19101,"18,090"
19103,"146,547"
19105,"20,439"
19107,"10,119"
19109,"15,114"
19111,"34,615"
19113,"221,661"
19115,"11,142"
19117,"8,647"
19119,"11,754"
19121,"15,848"
19123,"22,181"
19125,"33,189"
19127,"40,312"
19129,"14,972"
19131,"10,763"
19133,"8,898"
19135,"7,870"
19137,"10,225"
19139,"42,940"
19141,"14,020"
19143,"6,064"
19145,"15,391"
19147,"9,047"
19149,"25,200"
19151,"6,886"
19153,"474,045"
19155,"93,582"
19157,"18,533"
19159,"5,068"
19161,"9,876"
19163,"172,474"
19165,"11,800"
19167,"34,898"
19169,"97,090"
19171,"17,319"
19173,"6,216"
19175,"12,420"
19177,"7,271"
19179,"34,982"
19181,"49,691"
19183,"22,281"
19185,"6,452"
19187,"36,769"
19189,"10,631"
19191,"20,561"
19193,"102,779"
19195,"7,572"
19197,"12,779"
20000,"2,907,289"
20001,"12,714"
20003,"7,827"
20005,"16,380"
20007,"4,688"
20009,"26,775"
20011,"14,617"
20013,"9,684"
20015,"67,025"
20017,"2,669"
20019,"3,374"
20021,"20,246"
20023,"2,661"
20025,"2,072"
20027,"8,143"
20029,"9,150"
20031,"8,433"
20033,"1,862"
20035,"35,753"
20037,"39,164"
20039,"2,832"
20041,"19,064"
20043,"7,664"
20045,"119,440"
20047,"2,938"
20049,"2,547"
20051,"28,893"
20053,"6,328"
20055,"36,722"
20057,"33,971"
20059,"25,560"
20061,"35,586"
20063,"2,589"
20065,"2,564"
20067,"7,646"
20069,"6,034"
20071,"1,296"
20073,"6,151"
20075,"2,536"
20077,"5,685"
20079,"34,913"
20081,"4,006"
20083,"1,870"
20085,"13,291"
20087,"18,897"
20089,"2,901"
20091,"584,451"
20093,"3,917"
20095,"7,467"
20097,"2,483"
20099,"20,444"
20101,"1,636"
20103,"80,204"
20105,"3,073"
20107,"9,558"
20109,"2,831"
20111,"33,510"
20113,"28,804"
20115,"12,112"
20117,"9,836"
20119,"4,216"
20121,"32,964"
20123,"6,243"
20125,"32,746"
20127,"5,573"
20129,"2,848"
20131,"10,241"
20133,"16,146"
20135,"2,962"
20137,"5,493"
20139,"15,843"
20141,"3,642"
20143,"5,920"
20145,"6,743"
20147,"5,428"
20149,"23,661"
20151,"9,584"
20153,"2,549"
20155,"63,220"
20157,"4,699"
20159,"9,831"
20161,"73,343"
20163,"5,076"
20165,"3,058"
20167,"6,988"
20169,"55,142"
20171,"5,032"
20173,"511,995"
20175,"22,709"
20177,"178,146"
20179,"2,509"
20181,"5,965"
20183,"3,632"
20185,"4,208"
20187,"2,062"
20189,"5,584"
20191,"23,272"
20193,"7,892"
